end,start,tweet_count
2022-07-02T00:00:00.000Z,2022-07-01T00:00:00.000Z,93404
2022-07-03T00:00:00.000Z,2022-07-02T00:00:00.000Z,83470
2022-07-04T00:00:00.000Z,2022-07-03T00:00:00.000Z,80789
2022-07-05T00:00:00.000Z,2022-07-04T00:00:00.000Z,100692
2022-07-06T00:00:00.000Z,2022-07-05T00:00:00.000Z,117233
2022-07-07T00:00:00.000Z,2022-07-06T00:00:00.000Z,105553
2022-07-08T00:00:00.000Z,2022-07-07T00:00:00.000Z,98889
2022-07-09T00:00:00.000Z,2022-07-08T00:00:00.000Z,99382
2022-07-10T00:00:00.000Z,2022-07-09T00:00:00.000Z,91615
2022-07-11T00:00:00.000Z,2022-07-10T00:00:00.000Z,99128
2022-07-12T00:00:00.000Z,2022-07-11T00:00:00.000Z,107289
2022-07-13T00:00:00.000Z,2022-07-12T00:00:00.000Z,102080
2022-07-14T00:00:00.000Z,2022-07-13T00:00:00.000Z,101006
2022-07-15T00:00:00.000Z,2022-07-14T00:00:00.000Z,100667
2022-07-16T00:00:00.000Z,2022-07-15T00:00:00.000Z,99382
2022-07-17T00:00:00.000Z,2022-07-16T00:00:00.000Z,112399
2022-07-18T00:00:00.000Z,2022-07-17T00:00:00.000Z,124282
2022-07-19T00:00:00.000Z,2022-07-18T00:00:00.000Z,130004
2022-07-20T00:00:00.000Z,2022-07-19T00:00:00.000Z,121802
2022-07-21T00:00:00.000Z,2022-07-20T00:00:00.000Z,143122
2022-07-22T00:00:00.000Z,2022-07-21T00:00:00.000Z,135692
2022-07-23T00:00:00.000Z,2022-07-22T00:00:00.000Z,117132
2022-07-24T00:00:00.000Z,2022-07-23T00:00:00.000Z,97944
2022-07-25T00:00:00.000Z,2022-07-24T00:00:00.000Z,90899
2022-07-26T00:00:00.000Z,2022-07-25T00:00:00.000Z,121292
2022-07-27T00:00:00.000Z,2022-07-26T00:00:00.000Z,117621
2022-07-28T00:00:00.000Z,2022-07-27T00:00:00.000Z,105810
2022-07-29T00:00:00.000Z,2022-07-28T00:00:00.000Z,122166
2022-07-30T00:00:00.000Z,2022-07-29T00:00:00.000Z,97136
2022-07-31T00:00:00.000Z,2022-07-30T00:00:00.000Z,104421
